Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Number.of.Passengers,Destroyed,UniqueID
20001214X41924,Accident,ATL83FIG03,1983-01-02,"HANCOCK, MD",United States,W35,POTOMAC AIRPARK,Fatal(1),Substantial,N8515U,Cessna,172F,No,1,Reciprocating,Personal,1.0,1.0,2.0,0.0,Vmc,Maneuvering,Probable Cause,,4.0,False,Cessna 172F
20001214X42087,Accident,SEA83FA038,1983-01-03,"WILLARD, WA",United States,,,Fatal(5),Destroyed,N6087C,Cessna,T303,No,2,Reciprocating,Business,5.0,0.0,0.0,0.0,Imc,Climb,Probable Cause,,5.0,True,Cessna T303
20001214X42017,Accident,LAX83FUA02,1983-01-03,"AVALON, CA",United States,AVX,CATALINA,Fatal(2),Destroyed,N2239M,Piper,PA-28-161,No,1,Reciprocating,Personal,2.0,2.0,0.0,0.0,Vmc,Go-Around,Probable Cause,,4.0,True,Piper PA-28-161
20001214X41966,Accident,DCA83AA010,1983-01-03,"HAILEY, ID",United States,SUN,FRIEDMAN MEMORIAL,Fatal(2),Destroyed,N805C,Canadair,CL-600-1A11,No,2,Turbo Fan,Executive/Corporate,2.0,0.0,0.0,0.0,Vmc,Approach,Probable Cause,,2.0,True,Canadair CL-600-1A11
20001214X42023,Accident,LAX83FXQ02,1983-01-03,"MAMMOTH LAKES, CA",United States,MMF,MAMMOTH,Non-Fatal,Substantial,N1931T,Piper,PA-28-235,No,1,Reciprocating,Personal,0.0,0.0,0.0,1.0,Vmc,Climb,Probable Cause,,1.0,False,Piper PA-28-235
20001214X42011,Accident,LAX83FA066,1983-01-03,"VAN NUYS, CA",United States,VNY,VAN NUYS,Non-Fatal,Substantial,N49750,Cessna,152,No,1,Reciprocating,Instructional,0.0,0.0,0.0,1.0,Vmc,Landing,Probable Cause,,1.0,False,Cessna 152
20001214X41949,Accident,CHI83LA072,1983-01-03,"DETROIT, MI",United States,DET,DETROIT CITY,Non-Fatal,Substantial,N25920,Piper,PA-38-112,No,1,Reciprocating,Instructional,0.0,0.0,0.0,1.0,Vmc,Landing,Probable Cause,,1.0,False,Piper PA-38-112
20001214X41995,Accident,FTW83LA075,1983-01-03,"ORLA, TX",United States,,,Non-Fatal,Substantial,N5289Y,Cessna,T210N,No,1,Reciprocating,Unknown,0.0,1.0,0.0,0.0,Vmc,Cruise,Probable Cause,,1.0,False,Cessna T210N
20001214X42021,Accident,LAX83FUJ11,1983-01-04,"PHOENIX, AZ",United States,PHX,PHX SKY HARBOR,Non-Fatal,Substantial,N25GH,Douglas,A26C,No,2,Reciprocating,Unknown,0.0,0.0,0.0,3.0,Unk,Taxi,Probable Cause,,3.0,False,Douglas A26C
20001214X42086,Accident,SEA83FA037,1983-01-05,"PORTLAND, OR",United States,TTD,PORTLAND-TROUTDALE,Fatal(1),Destroyed,N5370Y,Cessna,T210N,No,1,Reciprocating,Unknown,1.0,0.0,0.0,0.0,Imc,Descent,Probable Cause,,1.0,True,Cessna T210N
20001214X42080,Accident,NYC83LA048,1983-01-05,"GRANVILLE, PA",United States,,,Non-Fatal,Destroyed,N29947,North American,AT-6D,No,1,Reciprocating,Personal,0.0,0.0,1.0,0.0,Vmc,Cruise,Probable Cause,,1.0,True,North American AT-6D
20001214X42071,Accident,NYC83FA049,1983-01-05,"ATLANTIC CITY, NJ",United States,ACY,ATLANTIC CITY,Fatal(2),Destroyed,N7619Y,Piper,PA-30,No,2,Reciprocating,Personal,2.0,0.0,0.0,0.0,Imc,Cruise,Probable Cause,,2.0,True,Piper PA-30
20001214X41969,Accident,DEN83FA044,1983-01-05,"ALMY, WY",United States,EVW,EVANSTON MUNI,Fatal(1),Destroyed,N6893L,Piper,AEROSTAR 602P,No,2,Reciprocating,Business,1.0,0.0,0.0,0.0,Vmc,Approach,Probable Cause,,1.0,True,Piper AEROSTAR 602P
20001214X41939,Accident,CHI83FA076,1983-01-05,"HANOVER PARK, IL",United States,063,SCHAUMBURG,Fatal(3),Destroyed,N9621Q,Cessna,172M,No,1,Reciprocating,Personal,3.0,0.0,0.0,0.0,Imc,Takeoff,Probable Cause,,3.0,True,Cessna 172M
